"gene","date","library_stock_id","gene_plus_library_stock","experiment_id","count_adult","count_larva","count_embryo"
"dhc-1","2012-01-18","universal-F3_A02","dhc-1_universal-F3_A02","51314_A02",5,345,107
"dhc-1","2012-01-18","universal-F3_A11","dhc-1_universal-F3_A11","51314_A11",5,392,47
"dhc-1","2012-01-18","universal-F3_B02","dhc-1_universal-F3_B02","51314_B02",5,385,75
"dhc-1","2012-01-18","universal-F3_B11","dhc-1_universal-F3_B11","51314_B11",7,457,95
"dhc-1","2012-01-18","universal-F3_C02","dhc-1_universal-F3_C02","51314_C02",6,424,113
"dhc-1","2012-01-18","universal-F3_D02","dhc-1_universal-F3_D02","51314_D02",4,420,91
"dhc-1","2012-01-18","universal-F3_D11","dhc-1_universal-F3_D11","51314_D11",6,434,88
"dhc-1","2012-01-18","universal-F3_E02","dhc-1_universal-F3_E02","51314_E02",6,489,75
"dhc-1","2012-01-18","universal-F3_E11","dhc-1_universal-F3_E11","51314_E11",7,466,87
"dhc-1","2012-01-18","universal-F3_F02","dhc-1_universal-F3_F02","51314_F02",5,518,125
"dhc-1","2012-01-18","universal-F3_F11","dhc-1_universal-F3_F11","51314_F11",8,490,106
"dhc-1","2012-01-18","universal-F3_G11","dhc-1_universal-F3_G11","51314_G11",7,523,106
"dhc-1","2012-01-18","universal-F3_H02","dhc-1_universal-F3_H02","51314_H02",7,467,79
"dhc-1","2012-01-18","universal-F3_H11","dhc-1_universal-F3_H11","51314_H11",9,460,126
"dhc-1","2012-01-25","universal-F3_A02","dhc-1_universal-F3_A02","51565_A02",8,530,112
"dhc-1","2012-01-25","universal-F3_A11","dhc-1_universal-F3_A11","51565_A11",10,677,123
"dhc-1","2012-01-25","universal-F3_B02","dhc-1_universal-F3_B02","51565_B02",9,541,98
"dhc-1","2012-01-25","universal-F3_B11","dhc-1_universal-F3_B11","51565_B11",9,581,108
"dhc-1","2012-01-25","universal-F3_C02","dhc-1_universal-F3_C02","51565_C02",9,526,110
"dhc-1","2012-01-25","universal-F3_D02","dhc-1_universal-F3_D02","51565_D02",5,488,141
"dhc-1","2012-01-25","universal-F3_D11","dhc-1_universal-F3_D11","51565_D11",5,584,115
"dhc-1","2012-01-25","universal-F3_E02","dhc-1_universal-F3_E02","51565_E02",8,450,131
"dhc-1","2012-01-25","universal-F3_E11","dhc-1_universal-F3_E11","51565_E11",7,558,140
"dhc-1","2012-01-25","universal-F3_F02","dhc-1_universal-F3_F02","51565_F02",8,594,74
"dhc-1","2012-01-25","universal-F3_F11","dhc-1_universal-F3_F11","51565_F11",8,598,58
"dhc-1","2012-01-25","universal-F3_G11","dhc-1_universal-F3_G11","51565_G11",10,667,139
"dhc-1","2012-01-25","universal-F3_H02","dhc-1_universal-F3_H02","51565_H02",11,524,169
"dhc-1","2012-01-25","universal-F3_H11","dhc-1_universal-F3_H11","51565_H11",9,595,112
"dhc-1","2014-08-06","universal-F5_A02","dhc-1_universal-F5_A02","53747_A02",NULL,NULL,0
"dhc-1","2014-08-06","universal-F5_A11","dhc-1_universal-F5_A11","53747_A11",NULL,NULL,0
"dhc-1","2014-08-06","universal-F5_B11","dhc-1_universal-F5_B11","53747_B11",2,842,173
"dhc-1","2014-08-06","universal-F5_C02","dhc-1_universal-F5_C02","53747_C02",4,712,171
"dhc-1","2014-08-06","universal-F5_C11","dhc-1_universal-F5_C11","53747_C11",NULL,NULL,0
"dhc-1","2014-08-06","universal-F5_D02","dhc-1_universal-F5_D02","53747_D02",0,0,1
"dhc-1","2014-08-06","universal-F5_D11","dhc-1_universal-F5_D11","53747_D11",NULL,NULL,0
"dhc-1","2014-08-06","universal-F5_E02","dhc-1_universal-F5_E02","53747_E02",4,610,149
